College,City,State,SAT,ACT,price-without-aid,price-with-avg-grant,students-with-need-who-get-grants,Average-Student-Debt,Early-career-earnings
University of Wisconsin-Whitewater,Whitewater, WI,1000,23,18200,13800,0.62,25000,46100
Seattle Pacific University,Seattle, WA,1110,24,57800,31300,1.00,25600,49000
Rivier University,Nashua, NH,NA,NA,49300,27000,0.97,25500,47500
University of Arkansas,Fayetteville, AR,1120,26,25500,16500,0.76,21500,49100
SUNY College at Oswego,Oswego, NY,1100,25,24700,17600,0.87,21500,42800
Fairleigh Dickinson University-Metropolitan Campus,Teaneck, NJ,970,20,58000,19300,0.84,26000,47400
Rockhurst University,Kansas City, MO,1080,26,52900,25500,1.00,20500,51500
University of Detroit Mercy,Detroit, MI,1120,25,58800,24000,0.98,23500,50900
University of Colorado Boulder,Boulder, CO,1190,28,30900,24400,0.76,19500,53400
Mississippi University for Women,Columbus, MS,1080,21,19600,10800,0.69,15000,40500
Pitzer College,Claremont, CA,NA,NA,72200,27400,0.98,15900,49000
Rhodes College,Memphis, TN,1270,29,63000,32000,1.00,26200,47900
Winston-Salem State University,Winston-Salem, NC,870,18,20300,11100,0.85,25700,44900
Presbyterian College,Clinton, SC,1110,25,53200,21200,1.00,26100,46000
Transylvania University,Lexington, KY,NA,NA,51800,25400,1.00,27000,46000
Northwood University,Midland, MI,1000,22,41300,24200,0.85,21800,45600
Rider University,Lawrenceville, NJ,1010,22,61100,31200,0.98,25800,48700
Azusa Pacific University,Azusa, CA,1020,23,53700,30600,0.98,22500,47200
Worcester State University,Worcester, MA,1010,24,26300,16800,0.81,20000,47600
DeSales University,Center Valley, PA,1060,25,53600,27400,0.94,26000,47400
University of Northwestern-St Paul,Saint Paul, MN,1100,24,44400,25600,0.97,22100,42900
Framingham State University,Framingham, MA,990,23,26800,18300,0.81,24700,46900
University of Nevada-Reno,Reno, NV,1090,24,24800,16100,0.77,18800,50300
University of Wisconsin-River Falls,River Falls, WI,NA,23,20400,15100,0.57,22700,44400
Saint Edward's University,Austin, TX,1110,25,60100,26400,0.90,25300,45600
Franklin College,Franklin, IN,970,22,45400,23700,1.00,27000,45100
Lincoln Memorial University,Harrogate, TN,1000,22,37400,17500,N/A,17000,41100
University of North Carolina School of the Arts,Winston-Salem, NC,1140,25,22500,14400,0.86,27000,44200
Biola University,La Mirada, CA,1090,24,55800,34700,0.98,24500,47000
Central Connecticut State University,New Britain, CT,1000,22,25800,15900,0.61,22500,49900
Wagner College,Staten Island, NY,NA,NA,63700,29200,0.99,26400,53900
American University,Washington, DC,1250,29,65800,34100,0.87,24300,51800
Lakeland University,Plymouth, WI,910,19,42200,22800,0.86,25500,45200
Marian University - Wisconsin,Fond Du Lac, WI,NA,20,39900,23200,0.98,27000,46100
Xavier University,Cincinnati, OH,1100,26,53600,29800,0.67,27000,48600
Washington & Jefferson College,Washington, PA,NA,NA,61600,29100,0.85,27000,45800
Willamette University,Salem, OR,NA,NA,63800,35000,0.99,26000,47700
Longwood University,Farmville, VA,970,21,27600,20200,0.76,25000,44500
University of Puget Sound,Tacoma, WA,NA,NA,65000,43400,0.99,27000,50500
Otis College of Art and Design,Los Angeles, CA,NA,NA,66200,42300,0.99,27000,49600
Iona College,New Rochelle, NY,1000,23,57200,29000,0.41,26000,52000
Texas State University,San Marcos, TX,1030,23,23200,13600,0.81,21300,46900
MidAmerica Nazarene University,Olathe, KS,890,22,43100,19800,0.96,18800,45700
Ball State University,Muncie, IN,1080,22,24900,14400,0.59,25000,43100
Unity College,Unity, ME,NA,NA,41500,27000,1.00,27000,38400
The Sage Colleges,Troy, NY,NA,NA,46500,21600,0.74,23300,43200
Georgian Court University,Lakewood, NJ,950,20,52200,24000,0.97,25000,42700
Trinity College,Hartford, CT,NA,NA,73200,25100,0.97,21000,55600
William Paterson University of New Jersey,Wayne, NJ,990,NA,29400,16700,0.68,24500,47800
Sarah Lawrence College,Bronxville, NY,1290,29,72000,35300,0.97,13500,47600
Ripon College,Ripon, WI,1010,24,53600,22400,0.99,28000,43600
Felician University,Lodi, NJ,900,19,51800,19000,0.83,25000,51500
Catholic University of America,Washington, DC,NA,NA,64000,38700,0.98,26100,52800
West Virginia University,Morgantown, WV,1020,24,23000,11600,0.70,24000,50800
Emmanuel College,Boston, MA,1120,25,58200,34200,1.00,27000,46700
Franciscan University of Steubenville,Steubenville, OH,1170,25,38700,28300,0.99,22000,44400
Butler University,Indianapolis, IN,1160,28,58100,35700,0.98,27000,48900
Southwestern University,Georgetown, TX,1170,26,55600,27500,0.99,26900,50300
Baylor University,Waco, TX,1220,28,61700,39000,0.97,25000,51600
Point Loma Nazarene University,San Diego, CA,1140,26,51000,32200,0.94,25000,48300
