College Name	City	State	SAT	ACT	price-without-aid	price-with-avg-grant	students-with-need-who-get-grants	Average-Student-Debt	Early-career-earnings
Louisiana Tech University	Ruston	 LA	1090	24	"$20,900 "	"$10,200 "	92%	"$19,900 "	"$50,300 "
Kean University	Union	 NJ	920	20	"$30,000 "	"$17,400 "	70%	"$25,000 "	"$45,700 "
Bethel College-Indiana	Mishawaka	 IN	1030	23	"$41,700 "	"$21,000 "	N/A	"$26,100 "	"$39,800 "
Augustana College	Rock Island	 IL	NA	NA	"$54,700 "	"$25,300 "	98%	"$27,000 "	"$45,000 "
Spelman College	Atlanta	 GA	1080	24	"$52,900 "	"$34,800 "	79%	"$27,000 "	"$47,500 "
Macalester College	Saint Paul	 MN	1380	31	"$67,900 "	"$30,600 "	99%	"$22,700 "	"$49,500 "
Saint Louis University	Saint Louis	 MO	1220	28	"$58,600 "	"$35,700 "	94%	"$26,000 "	"$51,000 "
Illinois College	Jacksonville	 IL	NA	NA	"$43,900 "	"$19,700 "	100%	"$27,000 "	"$42,800 "
Cedar Crest College	Allentown	 PA	990	22	"$53,400 "	"$20,600 "	100%	"$27,800 "	"$45,200 "
University of Minnesota-Duluth	Duluth	 MN	1090	24	"$25,000 "	"$16,800 "	85%	"$25,000 "	"$49,600 "
Saint Mary's University of Minnesota	Winona	 MN	1010	23	"$46,400 "	"$22,800 "	97%	"$23,300 "	"$48,800 "
Rochester Institute of Technology	Rochester	 NY	1240	29	"$56,000 "	"$31,300 "	95%	"$28,000 "	"$58,400 "
California State University-Channel Islands	Camarillo	 CA	NA	NA	"$29,300 "	"$15,500 "	N/A	"$15,200 "	"$47,700 "
California State University-Monterey Bay	Seaside	 CA	NA	NA	"$23,900 "	"$12,200 "	75%	"$14,000 "	"$46,200 "
Fordham University	Bronx	 NY	1270	29	"$74,000 "	"$40,800 "	96%	"$26,000 "	"$54,400 "
Central Washington University	Ellensburg	 WA	1060	21	"$23,100 "	"$15,100 "	84%	"$20,700 "	"$49,000 "
Clark University	Worcester	 MA	NA	NA	"$56,300 "	"$28,300 "	97%	"$27,000 "	"$47,600 "
Gannon University	Erie	 PA	1030	23	"$47,700 "	"$23,600 "	98%	"$27,000 "	"$48,100 "
Cedarville University	Cedarville	 OH	1200	26	"$40,100 "	"$24,500 "	79%	"$22,500 "	"$48,600 "
Regis University	Denver	 CO	1060	24	"$52,400 "	"$28,500 "	86%	"$22,900 "	"$53,800 "
The University of Findlay	Findlay	 OH	990	23	"$46,700 "	"$21,600 "	100%	"$25,000 "	"$46,500 "
Albion College	Albion	 MI	1050	23	"$58,100 "	"$22,200 "	100%	"$27,200 "	"$48,500 "
Quinnipiac University	Hamden	 CT	1090	25	"$65,300 "	"$40,200 "	97%	"$26,000 "	"$52,400 "
Goshen College	Goshen	 IN	1030	26	"$47,600 "	"$18,700 "	98%	"$20,100 "	"$42,900 "
La Salle University	Philadelphia	 PA	980	22	"$46,600 "	"$28,700 "	97%	"$27,000 "	"$51,100 "
University of Wisconsin-Stout	Menomonie	 WI	NA	22	"$20,200 "	"$15,100 "	72%	"$25,500 "	"$48,000 "
University of South Dakota	Vermillion	 SD	1050	23	"$22,800 "	"$17,700 "	N/A	"$25,000 "	"$45,600 "
Nebraska Wesleyan University	Lincoln	 NE	1090	24	"$47,700 "	"$25,300 "	99%	"$25,000 "	"$43,500 "
Keene State College	Keene	 NH	980	21	"$27,900 "	"$20,000 "	70%	"$26,300 "	"$46,100 "
Mississippi State University	Starkville	 MS	NA	25	"$25,000 "	"$16,800 "	87%	"$23,300 "	"$47,900 "
University of Mount Olive	Mount Olive	 NC	1090	20	"$31,900 "	"$16,200 "	92%	"$28,000 "	"$39,800 "
University of Wyoming	Laramie	 WY	1090	24	"$20,300 "	"$14,100 "	66%	"$18,500 "	"$49,700 "
University of Central Florida	Orlando	 FL	1180	26	"$22,800 "	"$16,700 "	71%	"$18,300 "	"$46,400 "
Messiah College	Mechanicsburg	 PA	1150	26	"$49,100 "	"$29,000 "	99%	"$26,000 "	"$47,600 "
Truman State University	Kirksville	 MO	1200	27	"$21,600 "	"$13,400 "	94%	"$22,700 "	"$45,000 "
SUNY College at Old Westbury	Old Westbury	 NY	970	22	"$23,900 "	"$10,800 "	86%	"$16,200 "	"$45,400 "
University of Rhode Island	Kingston	 RI	1070	25	"$30,200 "	"$19,700 "	86%	"$23,400 "	"$50,900 "
SUNY College at Plattsburgh	Plattsburgh	 NY	1100	23	"$25,200 "	"$15,300 "	86%	"$22,000 "	"$43,400 "
Susquehanna University	Selinsgrove	 PA	NA	NA	"$61,200 "	"$28,500 "	100%	"$27,000 "	"$47,300 "
Monmouth University	West Long Branch	 NJ	1030	23	"$56,200 "	"$31,800 "	57%	"$26,700 "	"$48,400 "
University of Massachusetts-Lowell	Lowell	 MA	1170	27	"$30,600 "	"$19,700 "	88%	"$25,000 "	"$55,400 "
Whitman College	Walla Walla	 WA	1310	30	"$66,100 "	"$36,800 "	100%	"$17,500 "	"$50,000 "
Bryn Mawr College	Bryn Mawr	 PA	1340	30	"$70,100 "	"$34,300 "	98%	"$26,000 "	"$50,200 "
Luther College	Decorah	 IA	1060	26	"$55,300 "	"$27,300 "	100%	"$27,000 "	"$46,400 "
University of Pittsburgh-Pittsburgh Campus	Pittsburgh	 PA	1290	30	"$34,000 "	"$25,300 "	74%	"$26,900 "	"$52,100 "
Allegheny College	Meadville	 PA	NA	NA	"$62,600 "	"$28,500 "	100%	"$29,000 "	"$46,700 "
Trinity Christian College	Palos Heights	 IL	1040	24	"$43,300 "	"$24,400 "	98%	"$24,600 "	"$44,400 "
Mount Mercy University	Cedar Rapids	 IA	NA	21	"$45,800 "	"$21,600 "	98%	"$22,300 "	"$45,800 "
Wheaton College - Massachusetts	Norton	 MA	NA	NA	"$67,400 "	"$35,200 "	99%	"$26,000 "	"$48,900 "
Ursinus College	Collegeville	 PA	NA	NA	"$67,800 "	"$33,900 "	100%	"$27,000 "	"$50,200 "
Wartburg College	Waverly	 IA	990	24	"$53,100 "	"$24,100 "	100%	"$27,000 "	"$46,100 "
Appalachian State University	Boone	 NC	1140	25	"$19,500 "	"$10,900 "	74%	"$20,500 "	"$43,900 "
Illinois Wesleyan University	Bloomington	 IL	1270	27	"$60,200 "	"$33,500 "	100%	"$27,000 "	"$49,000 "
Elon University	Elon	 NC	1190	27	"$50,800 "	"$36,700 "	90%	"$23,300 "	"$49,400 "
Linfield College-McMinnville Campus	McMinnville	 OR	1040	22	"$58,100 "	"$30,500 "	80%	"$25,000 "	"$49,000 "
Scripps College	Claremont	 CA	1370	30	"$72,800 "	"$40,700 "	100%	"$14,000 "	"$51,000 "
Auburn University	Auburn	 AL	1160	27	"$32,000 "	"$23,300 "	72%	"$21,500 "	"$50,700 "
University of Maine	Orono	 ME	1070	24	"$24,800 "	"$16,900 "	87%	"$26,000 "	"$49,000 "
Texas Christian University	Fort Worth	 TX	1180	28	"$64,500 "	"$35,800 "	93%	"$21,500 "	"$52,900 "
SUNY College of Technology at Alfred	Alfred	 NY	950	22	"$25,500 "	"$15,400 "	N/A	"$14,900 "	"$47,900 "
Knox College	Galesburg	 IL	NA	NA	"$57,900 "	"$25,000 "	98%	"$27,000 "	"$45,600 "
University of the Pacific	Stockton	 CA	1170	27	"$66,400 "	"$36,300 "	97%	"$24,600 "	"$55,500 "
Tulane University of Louisiana	New Orleans	 LA	1330	31	"$71,400 "	"$34,900 "	97%	"$27,500 "	"$52,300 "
Yeshiva University	New York	 NY	1230	27	"$62,000 "	"$33,300 "	N/A	"$19,500 "	"$58,900 "
University of Nebraska at Kearney	Kearney	 NE	930	22	"$23,100 "	"$16,700 "	85%	"$21,300 "	"$41,900 "
Beloit College	Beloit	 WI	1220	27	"$60,900 "	"$27,700 "	98%	"$27,000 "	"$45,300 "
Grand Valley State University	Allendale	 MI	1050	24	"$24,800 "	"$17,100 "	84%	"$25,000 "	"$44,500 "
Ithaca College	Ithaca	 NY	NA	NA	"$62,800 "	"$37,600 "	98%	"$25,800 "	"$48,700 "
Kalamazoo College	Kalamazoo	 MI	NA	NA	"$60,700 "	"$30,000 "	99%	"$26,500 "	"$47,400 "
University of San Diego	San Diego	 CA	1210	28	"$67,000 "	"$41,400 "	95%	"$22,900 "	"$54,400 "
Carlow University	Pittsburgh	 PA	970	22	"$44,200 "	"$19,600 "	81%	"$27,000 "	"$41,800 "
Radford University	Radford	 VA	NA	NA	"$23,800 "	"$15,100 "	60%	"$23,000 "	"$46,200 "
Sewanee-The University of the South	Sewanee	 TN	NA	NA	"$62,400 "	"$33,000 "	98%	"$19,000 "	"$46,000 "
Houghton College	Houghton	 NY	1100	25	"$45,500 "	"$23,100 "	100%	"$25,500 "	"$41,000 "
Elmhurst College	Elmhurst	 IL	1040	23	"$51,200 "	"$20,200 "	100%	"$21,500 "	"$46,900 "
Central College	Pella	 IA	1120	24	"$51,800 "	"$24,400 "	100%	"$27,000 "	"$46,200 "
Austin College	Sherman	 TX	1210	26	"$55,100 "	"$24,800 "	100%	"$26,000 "	"$48,200 "
South Dakota State University	Brookings	 SD	1030	23	"$23,400 "	"$23,000 "	50%	"$25,100 "	"$47,900 "
Slippery Rock University of Pennsylvania	Slippery Rock	 PA	1000	21	"$25,000 "	"$18,700 "	65%	"$25,000 "	"$42,900 "
Saint Peter's University	Jersey City	 NJ	930	20	"$55,300 "	"$15,800 "	99%	"$25,000 "	"$50,700 "
University of Wisconsin-Oshkosh	Oshkosh	 WI	NA	22	"$19,500 "	"$14,100 "	57%	"$23,700 "	"$45,300 "
University of North Carolina at Charlotte	Charlotte	 NC	1120	24	"$24,200 "	"$13,000 "	76%	"$23,000 "	"$49,300 "
Lycoming College	Williamsport	 PA	1030	23	"$55,200 "	"$20,900 "	100%	"$27,000 "	"$44,500 "
Augsburg College	Minneapolis	 MN	1060	22	"$52,500 "	"$26,200 "	99%	"$27,000 "	"$47,400 "
Winona State University	Winona	 MN	930	23	"$22,300 "	"$18,400 "	69%	"$24,000 "	"$46,700 "
Tennessee Technological University	Cookeville	 TN	1080	24	"$27,100 "	"$15,800 "	55%	"$16,000 "	"$51,000 "
Madonna University	Livonia	 MI	NA	21	"$35,000 "	"$15,900 "	88%	"$25,000 "	"$43,700 "
Lawrence University	Appleton	 WI	1270	29	"$59,900 "	"$31,400 "	99%	"$27,400 "	"$47,000 "
The New School	New York	 NY	1160	26	"$71,100 "	"$48,900 "	N/A	"$23,900 "	"$50,000 "
